"","Type","Subpopulation","Indicator","Value","NResp","Estimate.P","StdError.P","LCB95Pct.P","UCB95Pct.P","Estimate.U","StdError.U","LCB95Pct.U","UCB95Pct.U"
"2265","Combined","All Basins","TN",1.404,72,48.2806117068465,4.92786765508027,38.6221685823094,57.9390548313837,144417.993871775,13945.9768805796,117084.381456611,171751.606286939
"2266","Combined","All Basins","TN",1.42,73,62.6707645518973,10.9598399546193,41.1898729645204,84.1516561392742,187462.125499787,38128.446087715,112731.744381388,262192.506618185
"2267","Combined","All Basins","TN",1.464,74,63.7030703770561,10.9521319025018,42.2372862942203,85.1688544598918,190549.980666925,38082.1125212339,115910.411670105,265189.549663745
"2268","Combined","All Basins","TN",1.504,76,66.6818045060614,10.8434629383366,45.4290076792269,87.9346013328959,199460.033625664,37721.0434321794,125528.147039322,273391.920212007
"2269","Combined","All Basins","TN",1.59,77,81.0719573511121,4.66088361344748,71.9367933326222,90.2071213696021,242504.165253676,44340.9727760904,155597.455573068,329410.874934285
"2270","Combined","All Basins","TN",1.604,79,82.6414514845036,4.64884577535202,73.5298811951325,91.7530217738747,247198.86952781,44336.6702803116,160300.592583972,334097.146471648
"2271","Combined","All Basins","TN",1.704,81,87.3104866218864,3.88775521131712,79.690626426997,94.9303468167759,261164.98685772,43918.1515795894,175086.991494154,347242.982221286
"2272","Combined","All Basins","TN",1.904,82,88.5979541149391,3.74066917368177,81.2663772564436,95.9295309734346,265016.087039523,43812.1875377805,179145.777381559,350886.396697487
"2273","Combined","All Basins","TN",2.004,83,89.6854207017592,3.61395935302355,82.6021905282414,96.768650875277,268268.940251589,43693.5962135106,182631.065318073,353906.815185106
"2274","Combined","All Basins","TN",2.104,85,92.707611034261,3.41150914041366,86.0211759861211,99.394046082401,277308.980331626,43715.9279405785,191627.336017344,362990.624645908
"2275","Combined","All Basins","TN",2.112,86,94.883680478162,3.06505444250214,88.8762841602034,100,283818.08559156,43409.3703856273,198737.283044171,368898.888138949
"2276","Combined","All Basins","TN",2.404,87,97.809535253278,1.83993441171651,94.2033300723977,100,292569.964700881,43038.4110852354,208216.22902199,376923.700379772
